well,562:562
A1,2.389
B1,0.236
C1,1.058
D1,1.104
E1,2.116
F1,2.223
G1,0.045
H1,0.045
A2,2.876
B2,0.256
C2,0.926
D2,1.252
E2,2.333
F2,2.75
G2,0.043
H2,0.045
A3,1.778
B3,0.114
C3,1.183
D3,1.418
E3,2.368
F3,2.716
G3,0.044
H3,0.044
A4,3.266
B4,0.112
C4,1.156
D4,1.409
E4,2.404
F4,2.812
G4,0.044
H4,0.047
A5,1.196
B5,0.092
C5,1.784
D5,1.956
E5,1.952
F5,1.599
G5,0.043
H5,0.045
A6,1.21
B6,0.091
C6,1.681
D6,1.907
E6,2.023
F6,1.72
G6,0.044
H6,0.044
A7,0.938
B7,0.814
C7,1.11
D7,1.537
E7,1.078
F7,1.289
G7,0.044
H7,0.045
A8,1.351
B8,0.874
C8,1.125
D8,1.54
E8,1.247
F8,1.453
G8,0.044
H8,0.044
A9,0.62
B9,1.434
C9,1.544
D9,2.03
E9,1.38
F9,0.045
G9,0.044
H9,0.045
A10,0.625
B10,1.522
C10,1.316
D10,2.413
E10,1.576
F10,0.044
G10,0.045
H10,0.046
A11,0.382
B11,0.819
C11,1.521
D11,2.11
E11,2.377
F11,0.046
G11,0.045
H11,0.045
A12,0.378
B12,0.941
C12,1.504
D12,2.153
E12,2.394
F12,0.044
G12,0.043
H12,0.051
