well,fragment
A1,StandardA
B1,StandardG
C1,A31
D1,C19
E1,D30
F1,F9
G1,NA
H1,NA
A2,StandardA
B2,StandardG
C2,A31
D2,C19
E2,D30
F2,F9
G2,NA
H2,NA
A3,StandardB
B3,StandardH
C3,B9
D3,C26
E3,E5
F3,F17
G3,NA
H3,NA
A4,StandardB
B4,StandardH
C4,B9
D4,C26
E4,E5
F4,F17
G4,NA
H4,NA
A5,StandardC
B5,StandardI
C5,B20
D5,C30
E5,E8
F5,F22
G5,NA
H5,NA
A6,StandardC
B6,StandardI
C6,B20
D6,C30
E6,E8
F6,F22
G6,NA
H6,NA
A7,StandardD
B7,A7
C7,B25
D7,D4
E7,E20
F7,ACR-465
G7,NA
H7,NA
A8,StandardD
B8,A7
C8,B25
D8,D4
E8,E20
F8,ACR-465
G8,NA
H8,NA
A9,StandardE
B9,A16
C9,B34
D9,D13
E9,E31
F9,NA
G9,NA
H9,NA
A10,StandardE
B10,A16
C10,B34
D10,D13
E10,E31
F10,NA
G10,NA
H10,NA
A11,StandardF
B11,A20
C11,C19
D11,D26
E11,F22
F11,NA
G11,NA
H11,NA
A12,StandardF
B12,A20
C12,C19
D12,D26
E12,F22
F12,NA
G12,NA
H12,NA
