Well,562:562
A1,2.117
B1,0.23
C1,1.543
D1,1.609
E1,2.124
F1,1.991
G1,2.292
H1,1.538
A2,2.17
B2,0.245
C2,1.521
D2,1.517
E2,1.786
F2,2.16
G2,2.054
H2,1.63
A3,1.64
B3,0.111
C3,1.518
D3,0.988
E3,1.896
F3,1.626
G3,1.648
H3,1.748
A4,1.701
B4,0.108
C4,1.625
D4,1.02
E4,1.708
F4,1.665
G4,1.734
H4,1.899
A5,1.208
B5,0.086
C5,1.548
D5,1.303
E5,1.662
F5,1.887
G5,1.575
H5,1.532
A6,1.197
B6,0.09
C6,1.649
D6,1.274
E6,1.498
F6,1.781
G6,1.609
H6,1.407
A7,0.941
B7,1.7
C7,1.538
D7,1.688
E7,1.768
F7,1.617
G7,1.831
H7,1.312
A8,1
B8,1.856
C8,1.63
D8,1.589
E8,1.641
F8,1.538
G8,1.923
H8,1.549
A9,0.666
B9,1.804
C9,1.414
D9,1.264
E9,2.17
F9,1.716
G9,2.029
H9,1.692
A10,0.709
B10,1.607
C10,1.422
D10,1.255
E10,2.041
F10,1.728
G10,1.912
H10,1.601
A11,0.4
B11,1.523
C11,1.842
D11,1.775
E11,1.5
F11,1.419
G11,1.863
H11,1.796
A12,0.427
B12,1.7
C12,1.806
D12,1.738
E12,1.466
F12,1.541
G12,1.814
H12,1.912
