logger,coef,intercept
20937872,0.909574380646998,120.08997307979305
20937873,0.9948303140332337,18.88388999792246
21002972,1.0234030587205831,0.7149130942122599
21002974,0.9853133448601413,91.50996357660422
21002975,1.0651804923710555,1.797590099179342
21002976,0.9069753035076126,363.6880821704646
21002977,0.9875684176817866,54.80368222153027
21002979,1.0421804355600275,9.50310119605296
21002980,1.1111802374468314,13.578866353279334
21002981,0.9519875168958887,114.09191394292561
21002982,1.0550240854965485,6.957099339604593
21335980,1.0041957673840776,18.990610967657044
21335982,0.9229906693553539,21.377445707255603
21335983,0.9722288462911661,26.808703861027656
21335984,0.9574599125544775,7.935368213728064
21335986,0.9805670850595221,30.385370206451093
21335987,0.9961038366017737,12.497114001732943
21335989,0.8965065149446444,195.0390512226987
