colony_id,length.cm,diameter.cm,radius.cm,surface.area.cm2,length2.cm,diameter2.cm,radius2.cm,length3.cm,diameter3.cm,radius3.cm
ACR-A23,6.284,1.387,0.6935,30.40368182,NA,NA,NA,NA,NA,NA
ACR-A9,9.533,1.074,0.537,33.97689004,NA,NA,NA,NA,NA,NA
ACR-A17,4.138,1.047,0.5235,15.33282726,NA,NA,NA,NA,NA,NA
ACR-B5,7.581,1.11,0.555,28.37159759,NA,NA,NA,NA,NA,NA
ACR-B8,6.177,0.846,0.423,17.54139674,NA,NA,NA,NA,NA,NA
ACR-B29,7.453,1.086,0.543,40.06922359,3.174,1.094,0.547,NA,NA,NA
ACR-E6,5.867,1.071,0.5355,21.5421443,NA,NA,NA,NA,NA,NA
ACR-E9,11.198,1.249,0.6245,61.20751144,2.289,0.613,0.3065,3.195,0.862,0.431
ACR-E29,NA,NA,NA,25,NA,NA,NA,NA,NA,NA
BLK-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
