ShortUniqueID, PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
01010,20221130_TestPulchraRun,2022_12_1,31001,10,51,3,28.50,27.90,27.90,OFF,28.50,28.25,28.25,OFF,28.50,27.43,27.43,OFF,28.50,28.11,28.11,OFF,
01010,20221130_TestPulchraRun,2022_12_1,36669,10,51,3,28.50,27.90,27.90,HTR,28.50,28.25,28.25,HTR,28.50,27.43,27.43,HTR,28.50,28.11,28.11,HTR,
01010,20221130_TestPulchraRun,2022_12_1,42150,10,51,3,28.50,27.90,27.90,HTR,28.50,28.25,28.25,HTR,28.50,27.43,27.43,HTR,28.50,28.11,28.11,HTR,
01010,20221130_TestPulchraRun,2022_12_1,47634,10,51,3,28.50,27.90,27.90,HTR,28.50,28.25,28.25,HTR,28.50,27.43,27.43,HTR,28.50,28.11,28.11,HTR,
01010,20221130_TestPulchraRun,2022_12_1,53115,10,51,3,28.50,27.90,27.90,HTR,28.50,28.25,28.25,HTR,28.50,27.50,27.50,HTR,28.50,28.11,28.11,HTR,
01010,20221130_TestPulchraRun,2022_12_1,58596,10,51,3,28.50,27.90,27.90,HTR,28.50,28.25,28.25,HTR,28.50,27.50,27.50,HTR,28.50,28.11,28.11,HTR,
01010,20221130_TestPulchraRun,2022_12_1,64080,10,52,5,28.50,27.90,27.90,HTR,28.50,28.25,28.25,HTR,28.50,27.50,27.50,HTR,28.50,28.11,28.11,HTR,
01010,20221130_TestPulchraRun,2022_12_1,70840,10,52,5,28.50,27.90,27.90,HTR,28.50,28.25,28.25,HTR,28.50,27.50,27.50,HTR,28.50,28.11,28.11,HTR,
01010,20221130_TestPulchraRun,2022_12_1,76321,10,52,5,28.50,27.90,27.90,HTR,28.50,28.25,28.25,HTR,28.50,27.50,27.50,HTR,28.50,28.11,28.11,HTR,
01010,20221130_TestPulchraRun,2022_12_1,81803,10,52,5,28.50,27.90,27.90,HTR,28.50,28.25,28.25,HTR,28.50,27.50,27.50,HTR,28.50,28.11,28.11,HTR,
01010,20221130_TestPulchraRun,2022_12_1,87286,10,52,5,28.50,27.90,27.90,HTR,28.50,28.25,28.25,HTR,28.50,27.56,27.56,HTR,28.50,28.11,28.11,HTR,
01010,20221130_TestPulchraRun,2022_12_1,92768,10,52,5,28.50,27.90,27.90,HTR,28.50,28.25,28.25,HTR,28.50,27.56,27.56,HTR,28.50,28.11,28.11,HTR,
01010,20221130_TestPulchraRun,2022_12_1,98249,10,52,5,28.50,27.90,27.90,HTR,28.50,28.31,28.31,CHL,28.50,27.56,27.56,HTR,28.50,28.11,28.11,HTR,
01010,20221130_TestPulchraRun,2022_12_1,103731,10,52,5,28.50,27.90,27.90,HTR,28.50,28.31,28.31,HTR,28.50,27.56,27.56,HTR,28.50,28.17,28.17,HTR,
01010,20221130_TestPulchraRun,2022_12_1,109218,10,52,5,28.50,27.90,27.90,HTR,28.50,28.31,28.31,HTR,28.50,27.56,27.56,HTR,28.50,28.17,28.17,HTR,
01010,20221130_TestPulchraRun,2022_12_1,114701,10,52,5,28.50,27.96,27.96,HTR,28.50,28.31,28.31,HTR,28.50,27.62,27.62,HTR,28.50,28.17,28.17,HTR,
01010,20221130_TestPulchraRun,2022_12_1,120181,10,52,5,28.50,27.90,27.90,HTR,28.50,28.31,28.31,HTR,28.50,27.62,27.62,HTR,28.50,28.17,28.17,HTR,
01010,20221130_TestPulchraRun,2022_12_1,125667,10,53,7,28.50,27.96,27.96,HTR,28.50,28.37,28.37,CHL,28.50,27.68,27.68,HTR,28.50,28.24,28.24,OFF,
01010,20221130_TestPulchraRun,2022_12_1,132914,10,53,7,28.50,27.96,27.96,HTR,28.50,28.37,28.37,HTR,28.50,27.68,27.68,HTR,28.50,28.24,28.24,HTR,
01010,20221130_TestPulchraRun,2022_12_1,138395,10,53,7,28.50,27.96,27.96,HTR,28.50,28.37,28.37,HTR,28.50,27.68,27.68,HTR,28.50,28.24,28.24,HTR,
01010,20221130_TestPulchraRun,2022_12_1,143878,10,53,7,28.50,27.96,27.96,HTR,28.50,28.37,28.37,HTR,28.50,27.75,27.75,HTR,28.50,28.24,28.24,HTR,
01010,20221130_TestPulchraRun,2022_12_1,149363,10,53,7,28.50,27.96,27.96,HTR,28.50,28.44,28.44,CHL,28.50,27.75,27.75,HTR,28.50,28.30,28.30,OFF,
01010,20221130_TestPulchraRun,2022_12_1,154847,10,53,7,28.50,28.03,28.03,HTR,28.50,28.44,28.44,HTR,28.50,27.75,27.75,HTR,28.50,28.30,28.30,HTR,
01010,20221130_TestPulchraRun,2022_12_1,160328,10,53,7,28.50,28.03,28.03,HTR,28.50,28.44,28.44,HTR,28.50,27.75,27.75,HTR,28.50,28.30,28.30,HTR,
01010,20221130_TestPulchraRun,2022_12_1,165813,10,53,7,28.50,28.03,28.03,HTR,28.50,28.50,28.50,CHL,28.50,27.81,27.81,HTR,28.50,28.36,28.36,CHL,
01010,20221130_TestPulchraRun,2022_12_1,171294,10,53,7,28.50,28.03,28.03,HTR,28.50,28.50,28.50,HTR,28.50,27.81,27.81,HTR,28.50,28.36,28.36,HTR,
ShortUniqueID, PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
01010,20221201_E5pulchra,2022_12_1,32215,10,54,10,28.50,28.09,28.09,OFF,28.50,28.62,28.62,CHL,28.50,27.93,27.93,OFF,28.50,28.49,28.49,CHL,
01010,20221201_E5pulchra,2022_12_1,37877,10,54,10,28.50,28.15,28.15,HTR,28.50,28.62,28.62,CHL,28.50,27.93,27.93,HTR,28.50,28.49,28.49,HTR,
01010,20221201_E5pulchra,2022_12_1,43352,10,54,10,28.50,28.15,28.15,HTR,28.50,28.62,28.62,CHL,28.50,28.00,28.00,HTR,28.50,28.49,28.49,HTR,
01010,20221201_E5pulchra,2022_12_1,48827,10,54,10,28.50,28.15,28.15,HTR,28.50,28.62,28.62,CHL,28.50,28.00,28.00,HTR,28.50,28.49,28.49,HTR,
01010,20221201_E5pulchra,2022_12_1,54306,10,54,10,28.50,28.15,28.15,HTR,28.50,28.62,28.62,CHL,28.50,28.00,28.00,HTR,28.50,28.49,28.49,HTR,
01010,20221201_E5pulchra,2022_12_1,59782,10,54,10,28.50,28.15,28.15,HTR,28.50,28.69,28.69,CHL,28.50,28.00,28.00,HTR,28.50,28.49,28.49,HTR,
01010,20221201_E5pulchra,2022_12_1,65259,10,55,14,28.50,28.15,28.15,HTR,28.50,28.69,28.69,CHL,28.50,28.00,28.00,HTR,28.50,28.49,28.49,HTR,
01010,20221201_E5pulchra,2022_12_1,73176,10,55,14,28.50,28.15,28.15,HTR,28.50,28.69,28.69,CHL,28.50,28.00,28.00,HTR,28.50,28.55,28.55,CHL,
01010,20221201_E5pulchra,2022_12_1,78658,10,55,14,28.50,28.15,28.15,HTR,28.50,28.69,28.69,CHL,28.50,28.00,28.00,HTR,28.50,28.55,28.55,CHL,
01010,20221201_E5pulchra,2022_12_1,84136,10,55,14,28.50,28.15,28.15,HTR,28.50,28.69,28.69,CHL,28.50,28.06,28.06,HTR,28.50,28.55,28.55,CHL,
01010,20221201_E5pulchra,2022_12_1,89613,10,55,14,28.50,28.15,28.15,HTR,28.50,28.69,28.69,CHL,28.50,28.06,28.06,HTR,28.50,28.55,28.55,CHL,
01010,20221201_E5pulchra,2022_12_1,95093,10,55,14,28.50,28.15,28.15,HTR,28.50,28.69,28.69,CHL,28.50,28.06,28.06,HTR,28.50,28.55,28.55,CHL,
01010,20221201_E5pulchra,2022_12_1,100571,10,55,14,28.50,28.21,28.21,OFF,28.50,28.69,28.69,CHL,28.50,28.06,28.06,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,106048,10,55,14,28.50,28.21,28.21,HTR,28.50,28.69,28.69,CHL,28.50,28.06,28.06,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,111526,10,55,14,28.50,28.21,28.21,HTR,28.50,28.69,28.69,CHL,28.50,28.12,28.12,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,117010,10,55,14,28.50,28.21,28.21,HTR,28.50,28.69,28.69,CHL,28.50,28.12,28.12,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,122488,10,55,14,28.50,28.21,28.21,HTR,28.50,28.69,28.69,CHL,28.50,28.12,28.12,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,127966,10,56,16,28.50,28.21,28.21,HTR,28.50,28.69,28.69,CHL,28.50,28.12,28.12,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,135884,10,56,16,28.50,28.28,28.28,OFF,28.50,28.69,28.69,CHL,28.50,28.12,28.12,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,141368,10,56,16,28.50,28.28,28.28,HTR,28.50,28.69,28.69,CHL,28.50,28.12,28.12,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,146845,10,56,16,28.50,28.28,28.28,HTR,28.50,28.69,28.69,CHL,28.50,28.18,28.18,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,152323,10,56,16,28.50,28.28,28.28,HTR,28.50,28.69,28.69,CHL,28.50,28.18,28.18,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,157804,10,56,16,28.50,28.28,28.28,HTR,28.50,28.69,28.69,CHL,28.50,28.18,28.18,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,163282,10,56,16,28.50,28.28,28.28,HTR,28.50,28.69,28.69,CHL,28.50,28.18,28.18,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,168760,10,56,16,28.50,28.28,28.28,HTR,28.50,28.69,28.69,CHL,28.50,28.18,28.18,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,174238,10,56,16,28.50,28.34,28.34,CHL,28.50,28.69,28.69,CHL,28.50,28.18,28.18,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,179721,10,56,16,28.50,28.34,28.34,HTR,28.50,28.69,28.69,CHL,28.50,28.25,28.25,OFF,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,185199,10,56,16,28.50,28.34,28.34,HTR,28.50,28.69,28.69,CHL,28.50,28.25,28.25,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,190678,10,57,19,28.50,28.34,28.34,HTR,28.50,28.69,28.69,CHL,28.50,28.25,28.25,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,198596,10,57,19,28.50,28.40,28.40,CHL,28.50,28.69,28.69,CHL,28.50,28.25,28.25,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,204079,10,57,19,28.50,28.40,28.40,HTR,28.50,28.69,28.69,CHL,28.50,28.31,28.31,CHL,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,209557,10,57,19,28.50,28.40,28.40,HTR,28.50,28.62,28.62,HTR,28.50,28.25,28.25,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,215035,10,57,19,28.50,28.40,28.40,HTR,28.50,28.69,28.69,CHL,28.50,28.31,28.31,CHL,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,220519,10,57,19,28.50,28.40,28.40,HTR,28.50,28.62,28.62,HTR,28.50,28.31,28.31,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,225995,10,57,19,28.50,28.40,28.40,HTR,28.50,28.69,28.69,CHL,28.50,28.31,28.31,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,231475,10,57,19,28.50,28.40,28.40,HTR,28.50,28.62,28.62,HTR,28.50,28.31,28.31,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,236952,10,57,19,28.50,28.46,28.46,CHL,28.50,28.62,28.62,CHL,28.50,28.31,28.31,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,242435,10,57,19,28.50,28.46,28.46,HTR,28.50,28.62,28.62,CHL,28.50,28.37,28.37,CHL,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,247913,10,57,19,28.50,28.46,28.46,HTR,28.50,28.69,28.69,CHL,28.50,28.37,28.37,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,253390,10,58,22,28.50,28.46,28.46,HTR,28.50,28.62,28.62,HTR,28.50,28.37,28.37,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,261307,10,58,22,28.50,28.46,28.46,HTR,28.50,28.62,28.62,CHL,28.50,28.37,28.37,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,266788,10,58,22,28.50,28.46,28.46,HTR,28.50,28.62,28.62,CHL,28.50,28.37,28.37,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,272265,10,58,22,28.50,28.53,28.53,CHL,28.50,28.62,28.62,CHL,28.50,28.37,28.37,HTR,28.50,28.61,28.61,HTR,
01010,20221201_E5pulchra,2022_12_1,277744,10,58,22,28.50,28.53,28.53,CHL,28.50,28.69,28.69,CHL,28.50,28.37,28.37,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,283227,10,58,22,28.50,28.53,28.53,CHL,28.50,28.69,28.69,CHL,28.50,28.37,28.37,HTR,28.50,28.61,28.61,HTR,
01010,20221201_E5pulchra,2022_12_1,288704,10,58,22,28.50,28.53,28.53,CHL,28.50,28.69,28.69,CHL,28.50,28.43,28.43,CHL,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,294183,10,58,22,28.50,28.53,28.53,CHL,28.50,28.69,28.69,CHL,28.50,28.43,28.43,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,299661,10,58,22,28.50,28.53,28.53,CHL,28.50,28.69,28.69,CHL,28.50,28.43,28.43,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,305143,10,58,22,28.50,28.53,28.53,CHL,28.50,28.69,28.69,CHL,28.50,28.43,28.43,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,310622,10,58,22,28.50,28.59,28.59,CHL,28.50,28.69,28.69,CHL,28.50,28.43,28.43,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,316100,10,59,25,28.50,28.53,28.53,HTR,28.50,28.69,28.69,CHL,28.50,28.43,28.43,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,324022,10,59,25,28.50,28.59,28.59,CHL,28.50,28.69,28.69,CHL,28.50,28.43,28.43,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,329501,10,59,25,28.50,28.59,28.59,CHL,28.50,28.69,28.69,CHL,28.50,28.43,28.43,HTR,28.50,28.61,28.61,HTR,
01010,20221201_E5pulchra,2022_12_1,334980,10,59,25,28.50,28.59,28.59,CHL,28.50,28.69,28.69,CHL,28.50,28.43,28.43,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,340458,10,59,25,28.50,28.59,28.59,CHL,28.50,28.69,28.69,CHL,28.50,28.50,28.50,CHL,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,345942,10,59,25,28.50,28.59,28.59,CHL,28.50,28.69,28.69,CHL,28.50,28.50,28.50,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,351419,10,59,25,28.50,28.59,28.59,CHL,28.50,28.69,28.69,CHL,28.50,28.50,28.50,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,356897,10,59,25,28.50,28.59,28.59,CHL,28.50,28.69,28.69,CHL,28.50,28.50,28.50,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,362376,10,59,25,28.50,28.59,28.59,CHL,28.50,28.69,28.69,CHL,28.50,28.50,28.50,HTR,28.50,28.61,28.61,HTR,
01010,20221201_E5pulchra,2022_12_1,367856,10,59,25,28.50,28.59,28.59,CHL,28.50,28.69,28.69,CHL,28.50,28.50,28.50,HTR,28.50,28.61,28.61,CHL,
01010,20221201_E5pulchra,2022_12_1,373335,10,59,25,28.50,28.59,28.59,CHL,28.50,28.69,28.69,CHL,28.50,28.50,28.50,HTR,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,378812,11,0,28,28.50,28.59,28.59,CHL,28.50,28.69,28.69,CHL,28.50,28.56,28.56,CHL,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,384619,11,0,28,28.50,28.65,28.65,CHL,28.50,28.69,28.69,CHL,28.50,28.56,28.56,CHL,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,390098,11,0,28,28.50,28.59,28.59,HTR,28.50,28.69,28.69,CHL,28.50,28.56,28.56,CHL,28.50,28.67,28.67,CHL,
01010,20221201_E5pulchra,2022_12_1,395576,11,0,28,28.50,28.65,28.65,CHL,28.50,28.69,28.69,CHL,28.50,28.56,28.56,CHL,28.50,28.67,28.67,CHL,
