"Plot Title: Logger_9_final_cal"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444033, SEN S/N: 20444033, LBL: C)","Coupler Detached (LGR S/N: 20444033)","Coupler Attached (LGR S/N: 20444033)","Host Connected (LGR S/N: 20444033)","Stopped (LGR S/N: 20444033)","End Of File (LGR S/N: 20444033)"
153,09/17/22 08:20:00 PM,26.475,,,,,
154,09/17/22 08:30:00 PM,26.451,,,,,
155,09/17/22 08:40:00 PM,26.426,,,,,
156,09/17/22 08:50:00 PM,26.402,,,,,
157,09/17/22 09:00:00 PM,26.378,,,,,
158,09/17/22 09:10:00 PM,26.329,,,,,
159,09/17/22 09:20:00 PM,26.304,,,,,
160,09/17/22 09:30:00 PM,26.280,,,,,
161,09/17/22 09:40:00 PM,26.231,,,,,
162,09/17/22 09:50:00 PM,26.207,,,,,
163,09/17/22 10:00:00 PM,26.182,,,,,
164,09/17/22 10:10:00 PM,26.158,,,,,
165,09/17/22 10:20:00 PM,26.109,,,,,
166,09/17/22 10:30:00 PM,26.109,,,,,
167,09/17/22 10:40:00 PM,26.109,,,,,
168,09/17/22 10:50:00 PM,26.109,,,,,
169,09/17/22 11:00:00 PM,26.109,,,,,
170,09/17/22 11:10:00 PM,26.109,,,,,
171,09/17/22 11:20:00 PM,26.109,,,,,
172,09/17/22 11:30:00 PM,26.109,,,,,
173,09/17/22 11:40:00 PM,26.109,,,,,
174,09/17/22 11:50:00 PM,26.109,,,,,
175,09/18/22 12:00:00 AM,26.109,,,,,
176,09/18/22 12:10:00 AM,26.109,,,,,
177,09/18/22 12:20:00 AM,26.109,,,,,
178,09/18/22 12:30:00 AM,26.109,,,,,
179,09/18/22 12:40:00 AM,26.109,,,,,
180,09/18/22 12:50:00 AM,26.109,,,,,
181,09/18/22 01:00:00 AM,26.109,,,,,
182,09/18/22 01:10:00 AM,26.109,,,,,
183,09/18/22 01:20:00 AM,26.085,,,,,
184,09/18/22 01:30:00 AM,26.085,,,,,
185,09/18/22 01:40:00 AM,26.085,,,,,
186,09/18/22 01:50:00 AM,26.085,,,,,
187,09/18/22 02:00:00 AM,26.085,,,,,
188,09/18/22 02:10:00 AM,26.085,,,,,
189,09/18/22 02:20:00 AM,26.061,,,,,
190,09/18/22 02:30:00 AM,26.061,,,,,
191,09/18/22 02:40:00 AM,26.061,,,,,
192,09/18/22 02:50:00 AM,26.061,,,,,
193,09/18/22 03:00:00 AM,26.036,,,,,
194,09/18/22 03:10:00 AM,26.036,,,,,
195,09/18/22 03:20:00 AM,26.036,,,,,
196,09/18/22 03:30:00 AM,26.012,,,,,
197,09/18/22 03:40:00 AM,26.012,,,,,
198,09/18/22 03:50:00 AM,26.012,,,,,
199,09/18/22 04:00:00 AM,25.987,,,,,
200,09/18/22 04:10:00 AM,25.987,,,,,
201,09/18/22 04:20:00 AM,25.987,,,,,
202,09/18/22 04:30:00 AM,25.987,,,,,
203,09/18/22 04:40:00 AM,25.963,,,,,
204,09/18/22 04:50:00 AM,25.963,,,,,
205,09/18/22 05:00:00 AM,25.963,,,,,
206,09/18/22 05:10:00 AM,25.963,,,,,
207,09/18/22 05:20:00 AM,25.963,,,,,
208,09/18/22 05:30:00 AM,25.963,,,,,
209,09/18/22 05:40:00 AM,25.963,,,,,
210,09/18/22 05:50:00 AM,25.987,,,,,
211,09/18/22 06:00:00 AM,25.987,,,,,
212,09/18/22 06:10:00 AM,25.987,,,,,
213,09/18/22 06:20:00 AM,25.987,,,,,
214,09/18/22 06:30:00 AM,25.987,,,,,
215,09/18/22 06:40:00 AM,25.987,,,,,
216,09/18/22 06:50:00 AM,26.012,,,,,
217,09/18/22 07:00:00 AM,26.061,,,,,
218,09/18/22 07:10:00 AM,26.085,,,,,
219,09/18/22 07:20:00 AM,26.109,,,,,
220,09/18/22 07:30:00 AM,26.109,,,,,
221,09/18/22 07:40:00 AM,26.134,,,,,
222,09/18/22 07:50:00 AM,26.158,,,,,
223,09/18/22 08:00:00 AM,26.207,,,,,
224,09/18/22 08:10:00 AM,26.231,,,,,
225,09/18/22 08:20:00 AM,26.280,,,,,
226,09/18/22 08:30:00 AM,26.304,,,,,
227,09/18/22 08:40:00 AM,26.353,,,,,
228,09/18/22 08:50:00 AM,26.402,,,,,
229,09/18/22 09:00:00 AM,26.451,,,,,
230,09/18/22 09:10:00 AM,26.475,,,,,
231,09/18/22 09:20:00 AM,26.524,,,,,
232,09/18/22 09:30:00 AM,26.549,,,,,
233,09/18/22 09:40:00 AM,26.598,,,,,
234,09/18/22 09:50:00 AM,26.646,,,,,
235,09/18/22 10:00:00 AM,26.695,,,,,
236,09/18/22 10:10:00 AM,26.744,,,,,
237,09/18/22 10:20:00 AM,26.769,,,,,
238,09/18/22 10:30:00 AM,26.818,,,,,
239,09/18/22 10:40:00 AM,26.867,,,,,
240,09/18/22 10:50:00 AM,26.916,,,,,
241,09/18/22 11:00:00 AM,26.965,,,,,
242,09/18/22 11:10:00 AM,27.014,,,,,
243,09/18/22 11:20:00 AM,27.038,,,,,
244,09/18/22 11:30:00 AM,27.087,,,,,
245,09/18/22 11:40:00 AM,27.112,,,,,
246,09/18/22 11:50:00 AM,27.136,,,,,
247,09/18/22 12:00:00 PM,27.136,,,,,
248,09/18/22 12:10:00 PM,27.161,,,,,
249,09/18/22 12:20:00 PM,27.186,,,,,
250,09/18/22 12:30:00 PM,27.186,,,,,
251,09/18/22 12:40:00 PM,27.210,,,,,
252,09/18/22 12:50:00 PM,27.210,,,,,
253,09/18/22 01:00:00 PM,27.210,,,,,
254,09/18/22 01:10:00 PM,27.235,,,,,
255,09/18/22 01:20:00 PM,27.235,,,,,
256,09/18/22 01:30:00 PM,27.235,,,,,
257,09/18/22 01:40:00 PM,27.259,,,,,
258,09/18/22 01:50:00 PM,27.259,,,,,
259,09/18/22 02:00:00 PM,27.308,,,,,
260,09/18/22 02:10:00 PM,27.284,,,,,
261,09/18/22 02:20:00 PM,27.308,,,,,
262,09/18/22 02:30:00 PM,27.333,,,,,
263,09/18/22 02:40:00 PM,27.333,,,,,
264,09/18/22 02:50:00 PM,27.333,,,,,
265,09/18/22 03:00:00 PM,27.333,,,,,
266,09/18/22 03:10:00 PM,27.333,,,,,
267,09/18/22 03:20:00 PM,27.358,,,,,
268,09/18/22 03:30:00 PM,27.358,,,,,
269,09/18/22 03:40:00 PM,27.333,,,,,
270,09/18/22 03:50:00 PM,27.333,,,,,
271,09/18/22 04:00:00 PM,27.308,,,,,
272,09/18/22 04:10:00 PM,27.284,,,,,
273,09/18/22 04:20:00 PM,27.284,,,,,
274,09/18/22 04:30:00 PM,27.235,,,,,
275,09/18/22 04:40:00 PM,27.210,,,,,
276,09/18/22 04:50:00 PM,27.186,,,,,
277,09/18/22 05:00:00 PM,27.161,,,,,
278,09/18/22 05:10:00 PM,27.136,,,,,
279,09/18/22 05:20:00 PM,27.087,,,,,
280,09/18/22 05:30:00 PM,27.038,,,,,
281,09/18/22 05:40:00 PM,27.014,,,,,
282,09/18/22 05:50:00 PM,26.965,,,,,
283,09/18/22 06:00:00 PM,26.940,,,,,
284,09/18/22 06:10:00 PM,26.891,,,,,
285,09/18/22 06:20:00 PM,26.867,,,,,
286,09/18/22 06:30:00 PM,26.818,,,,,
287,09/18/22 06:40:00 PM,26.793,,,,,
288,09/18/22 06:50:00 PM,26.769,,,,,
289,09/18/22 07:00:00 PM,26.744,,,,,
290,09/18/22 07:10:00 PM,26.720,,,,,
291,09/18/22 07:20:00 PM,26.720,,,,,
292,09/18/22 07:30:00 PM,26.671,,,,,
293,09/18/22 07:40:00 PM,26.646,,,,,
294,09/18/22 07:50:00 PM,26.598,,,,,
295,09/18/22 08:00:00 PM,26.573,,,,,
296,09/18/22 08:10:00 PM,26.500,,,,,
297,09/18/22 08:20:00 PM,26.475,,,,,
298,09/18/22 08:30:00 PM,26.451,,,,,
299,09/18/22 08:40:00 PM,26.402,,,,,
300,09/18/22 08:50:00 PM,26.402,,,,,
301,09/18/22 09:00:00 PM,26.353,,,,,
302,09/18/22 09:10:00 PM,26.329,,,,,
303,09/18/22 09:20:00 PM,26.304,,,,,
304,09/18/22 09:30:00 PM,26.256,,,,,
305,09/18/22 09:40:00 PM,26.256,,,,,
306,09/18/22 09:50:00 PM,26.207,,,,,
307,09/18/22 10:00:00 PM,26.182,,,,,
308,09/18/22 10:10:00 PM,26.158,,,,,
309,09/18/22 10:20:00 PM,26.158,,,,,
310,09/18/22 10:30:00 PM,26.158,,,,,
311,09/18/22 10:40:00 PM,26.158,,,,,
312,09/18/22 10:50:00 PM,26.158,,,,,
313,09/18/22 11:00:00 PM,26.158,,,,,
314,09/18/22 11:10:00 PM,26.158,,,,,
315,09/18/22 11:20:00 PM,26.158,,,,,
316,09/18/22 11:30:00 PM,26.134,,,,,
317,09/18/22 11:40:00 PM,26.109,,,,,
318,09/18/22 11:50:00 PM,26.109,,,,,
319,09/19/22 12:00:00 AM,26.085,,,,,
320,09/19/22 12:10:00 AM,26.085,,,,,
321,09/19/22 12:20:00 AM,26.061,,,,,
322,09/19/22 12:30:00 AM,26.061,,,,,
323,09/19/22 12:40:00 AM,26.036,,,,,
324,09/19/22 12:50:00 AM,26.012,,,,,
325,09/19/22 01:00:00 AM,26.012,,,,,
326,09/19/22 01:10:00 AM,25.987,,,,,
327,09/19/22 01:20:00 AM,25.963,,,,,
328,09/19/22 01:30:00 AM,25.963,,,,,
329,09/19/22 01:40:00 AM,25.963,,,,,
330,09/19/22 01:50:00 AM,25.963,,,,,
331,09/19/22 02:00:00 AM,25.963,,,,,
332,09/19/22 02:10:00 AM,25.939,,,,,
333,09/19/22 02:20:00 AM,25.939,,,,,
334,09/19/22 02:30:00 AM,25.914,,,,,
335,09/19/22 02:40:00 AM,25.914,,,,,
336,09/19/22 02:50:00 AM,25.914,,,,,
337,09/19/22 03:00:00 AM,25.890,,,,,
338,09/19/22 03:10:00 AM,25.866,,,,,
339,09/19/22 03:20:00 AM,25.866,,,,,
340,09/19/22 03:30:00 AM,25.841,,,,,
341,09/19/22 03:40:00 AM,25.841,,,,,
342,09/19/22 03:50:00 AM,25.817,,,,,
343,09/19/22 04:00:00 AM,25.817,,,,,
344,09/19/22 04:10:00 AM,25.817,,,,,
345,09/19/22 04:20:00 AM,25.793,,,,,
346,09/19/22 04:30:00 AM,25.768,,,,,
347,09/19/22 04:40:00 AM,25.768,,,,,
348,09/19/22 04:50:00 AM,25.768,,,,,
349,09/19/22 05:00:00 AM,25.768,,,,,
350,09/19/22 05:10:00 AM,25.768,,,,,
351,09/19/22 05:20:00 AM,25.768,,,,,
352,09/19/22 05:30:00 AM,25.744,,,,,
