fragment,colony,tank,treatment,cells.cm2,timepoint
A16,A,3,Baseline,NA,baseline
A20,A,4,Baseline,NA,baseline
A31,A,6,Baseline,282631.7546773152,baseline
A7,A,2,Baseline,359600.67930699175,baseline
B20,B,4,Baseline,362618.5102235051,baseline
B25,B,5,Baseline,NA,baseline
B34,B,6,Baseline,225077.58355884138,baseline
B9,B,2,Baseline,169682.8202456013,baseline
C1,C,1,Baseline,409972.3281591788,baseline
C19,C,4,Baseline,NA,baseline
C26,C,5,Baseline,NA,baseline
C30,C,6,Baseline,490677.0588529467,baseline
D13,D,3,Baseline,1084438.3184297904,baseline
D26,D,5,Baseline,1063229.5064415217,baseline
D30,D,6,Baseline,1100641.826082593,baseline
D4,D,1,Baseline,1326953.3035565862,baseline
E20,E,4,Baseline,NA,baseline
E31,E,6,Baseline,NA,baseline
E5,E,1,Baseline,NA,baseline
E8,E,2,Baseline,636330.1129172689,baseline
F17,F,3,Baseline,NA,baseline
F2,F,1,Baseline,737375.8331931826,baseline
F22,F,4,Baseline,NA,baseline
F9,F,2,Baseline,NA,baseline
NA,NA,NA,NA,NA,baseline
