fragment,surface.area.cm2,timepoint
A7,11.874282351826965,baseline
A16,19.048402669006084,baseline
A20,13.266727645456669,baseline
A31,10.481837058197263,baseline
B9,13.902409192548486,baseline
B20,19.44191981720578,baseline
B25,15.748912734100916,baseline
B34,14.084032491717577,baseline
C1,16.293782631608188,baseline
C19,16.20297098202364,baseline
C26,20.319765763189732,baseline
C30,19.89597806512851,baseline
D4,18.806238270113948,baseline
D13,23.437632398925796,baseline
D26,35.15233519533221,baseline
D30,35.394499594224335,baseline
E5,21.22788225903517,baseline
E8,23.46790294878731,baseline
E20,11.904552901688483,baseline
E31,12.419152249334239,baseline
F2,16.233241531885167,baseline
F9,17.746769024960923,baseline
F17,23.952231746571552,baseline
F22,16.081888782577586,baseline
