well,fragment,colony,tank,treatment,homog.vol.mL,surface.area.cm2,timepoint,prot_ug_host,prot_ug.cm2_host,prot_mg.cm2_host,prot_ug_holobiont,prot_ug.cm2_holobiont,prot_mg.cm2_holobiont
C1,A31,A,6,Baseline,5,10.481837058197263,Baseline,2789.4386105413923,266.1211574892711,0.2661211574892711,3946.740477719443,376.53137096163084,0.37653137096163086
D1,C19,C,4,Baseline,10,16.20297098202364,Baseline,5925.228972569089,365.6878099172568,0.3656878099172568,8253.954356741462,509.4099326536348,0.5094099326536349
E1,D30,D,6,Baseline,13,35.394499594224335,Baseline,17270.764799148976,487.95052895640356,0.48795052895640356,21039.679941017584,594.433603588814,0.594433603588814
F1,F9,F,2,Baseline,6,17.746769024960923,Baseline,8346.33661243533,470.3017546853833,0.47030175468538327,10213.716997404654,575.5254369422968,0.5755254369422967
C2,A31,A,6,Baseline,5,10.481837058197263,Baseline,3087.6859520990433,294.57488558118115,0.29457488558118117,3429.5395106331375,327.1887829959239,0.32718878299592385
D2,C19,C,4,Baseline,10,16.20297098202364,Baseline,6271.580724055393,387.0636274676655,0.38706362746766554,9413.738343541056,580.9884097172742,0.5809884097172742
E2,D30,D,6,Baseline,13,35.394499594224335,Baseline,17958.65786112872,507.3855561461083,0.5073855561461083,23250.322256397085,656.8908311445958,0.6568908311445958
F2,F9,F,2,Baseline,6,17.746769024960923,Baseline,8225.113499415125,463.4710401564623,0.46347104015646234,12691.579812445409,715.1487571960076,0.7151487571960077
C3,B9,B,2,Baseline,7,13.902409192548486,Baseline,4733.571993729361,340.4857336717218,0.3404857336717218,6211.119769111034,446.7657139915084,0.4467657139915084
D3,C26,C,5,Baseline,10,20.319765763189732,Baseline,8032.202127444108,395.29009443577553,0.3952900944357755,10714.577139546003,527.2982604433361,0.527298260443336
E3,E5,E,1,Baseline,7.5,21.22788225903517,Baseline,10144.294305972242,477.87594552228836,0.47787594552228835,13619.352385704844,641.5784777545614,0.6415784777545613
F3,F17,F,3,Baseline,7.5,23.952231746571552,Baseline,11832.75909446798,494.014888452375,0.49401488845237496,15664.647119182504,653.9953055282497,0.6539953055282497
C4,B9,B,2,Baseline,7,13.902409192548486,Baseline,4699.898906779304,338.06362923761367,0.3380636292376137,6063.01221944541,436.1123410678422,0.4361123410678422
D4,C26,C,5,Baseline,10,20.319765763189732,Baseline,8176.515357230068,402.392205329563,0.402392205329563,10644.049734943328,523.8273835924603,0.5238273835924603
E4,E5,E,1,Baseline,7.5,21.22788225903517,Baseline,9617.551017253489,453.06219904060356,0.4530621990406036,13830.934599512879,651.5456620090331,0.6515456620090331
F4,F17,F,3,Baseline,7.5,23.952231746571552,Baseline,12222.40481489007,510.2825049544515,0.5102825049544515,16228.866356003928,677.5513249752553,0.6775513249752553
C5,B20,B,4,Baseline,7.5,19.44191981720578,Baseline,6861.16832834165,352.905906044815,0.35290590604481503,10187.018695041184,523.9718500446567,0.5239718500446566
D5,C30,C,6,Baseline,7.5,19.89597806512851,Baseline,8304.300626201251,417.3858957331743,0.4173858957331743,11197.911494346234,562.8228709184549,0.5628228709184548
E5,E8,E,2,Baseline,10,23.46790294878731,Baseline,10860.741431248927,462.79130499856404,0.462791304998564,14899.203145971567,634.8757781419697,0.6348757781419697
F5,F22,F,4,Baseline,8,16.081888782577586,Baseline,6972.227798744788,433.5453312112315,0.4335453312112315,9706.369287911,603.5590358283323,0.6035590358283323
C6,B20,B,4,Baseline,7.5,19.44191981720578,Baseline,6031.367257072378,310.22488076176086,0.31022488076176086,9581.65847220153,492.83499583831843,0.4928349958383184
D6,C30,C,6,Baseline,7.5,19.89597806512851,Baseline,9300.061911724375,467.4342664271682,0.46743426642716823,10909.924592218633,548.3482418660459,0.5483482418660459
E6,E8,E,2,Baseline,10,23.46790294878731,Baseline,10764.53261139162,458.69171331083385,0.45869171331083386,15455.586004503804,658.5840259452098,0.6585840259452097
F6,F22,F,4,Baseline,8,16.081888782577586,Baseline,7141.555321693648,444.0744130397479,0.44407441303974793,10464.930706304249,650.7277128816794,0.6507277128816794
B7,A7,A,2,Baseline,9,11.874282351826965,Baseline,3869.369925282544,325.86137087158,0.32586137087158,5383.264187589653,453.35490837148484,0.45335490837148484
C7,B25,B,5,Baseline,10,15.748912734100916,Baseline,6233.097196112471,395.77952467893397,0.39577952467893396,8300.972626476581,527.0822669873961,0.5270822669873961
D7,D4,D,1,Baseline,10.5,18.806238270113948,Baseline,8656.05460768669,460.2757065692672,0.4602757065692672,12229.46146375715,650.2874890823688,0.6502874890823688
E7,E20,E,4,Baseline,7.5,11.904552901688483,Baseline,4350.118130065942,365.4163382691124,0.36541633826911235,6037.656390916962,507.1720408803098,0.5071720408803098
B8,A7,A,2,Baseline,9,11.874282351826965,Baseline,3878.0287190697018,326.5905765221283,0.3265905765221283,5806.428615205722,488.9919612120686,0.4889919612120686
