well,fragment,colony,tank,treatment,homog.vol.mL,surface.area.cm2,timepoint,prot_ug_host,prot_ug.cm2_host,prot_mg.cm2_host,prot_ug_holobiont,prot_ug.cm2_holobiont,prot_mg.cm2_holobiont
C8,B25,B,5,Baseline,10,15.748912734100916,Baseline,6367.7895439127,404.3320101790016,0.4043320101790016,8418.518300814378,534.5459996477007,0.5345459996477007
D8,D4,D,1,Baseline,10.5,18.806238270113948,Baseline,9393.495211892947,499.4882590007742,0.4994882590007742,12254.14605536809,651.6000637321416,0.6516000637321416
E8,E20,E,4,Baseline,7.5,11.904552901688483,Baseline,4075.9229934726177,342.383542425563,0.342383542425563,7030.917339071343,590.6074253384277,0.5906074253384277
B9,A16,A,3,Baseline,10,19.048402669006084,Baseline,7935.993307586801,416.6225087471279,0.41662250874712786,10839.959192172988,569.0744457964885,0.5690744457964885
C9,B34,B,6,Baseline,8,14.084032491717577,Baseline,4947.994228947054,351.31942729163893,0.35131942729163895,9361.568643186798,664.6937692519576,0.6646937692519577
D9,D13,D,3,Baseline,10,23.437632398925796,Baseline,10447.043505862508,445.738004933524,0.445738004933524,15510.440652528107,661.7750627934154,0.6617750627934154
E9,E31,E,6,Baseline,7,12.419152249334239,Baseline,5043.364393669888,406.09570544078406,0.40609570544078405,7291.756335189843,587.1380098090622,0.5871380098090622
B10,A16,A,3,Baseline,10,19.048402669006084,Baseline,9205.94972970325,483.29247809751405,0.483292478097514,11529.560481621395,605.2770241140114,0.6052770241140114
C10,B34,B,6,Baseline,8,14.084032491717577,Baseline,5525.2471480908935,392.305765507154,0.39230576550715396,7932.21324323919,563.2061164232546,0.5632061164232546
D10,D13,D,3,Baseline,10,23.437632398925796,Baseline,11765.104337907613,501.97494941711074,0.5019749494171107,18511.773537286514,789.8312091512688,0.7898312091512688
E10,E31,E,6,Baseline,7,12.419152249334239,Baseline,6107.433941291702,491.77543029308674,0.49177543029308673,8366.907436466225,673.7100301604528,0.6737100301604528
B11,A20,A,4,Baseline,10,13.266727645456669,Baseline,4761.102252295676,358.87540466138734,0.35887540466138734,6020.586544323325,453.8109702120205,0.4538109702120205
C11,C19,C,4,Baseline,10,16.20297098202364,Baseline,7733.954785886457,477.31707934716917,0.47731707934716916,11521.724103332208,711.0871281640241,0.7110871281640241
D11,D26,D,5,Baseline,13,35.15233519533221,Baseline,16282.700219214435,463.2039416083109,0.4632039416083109,20978.55619036193,596.7898312811838,0.5967898312811838
E11,F22,F,4,Baseline,8,16.081888782577586,Baseline,10474.228841550756,651.3058872100942,0.6513058872100942,14583.731135100643,906.8419345680352,0.9068419345680352
B12,A20,A,4,Baseline,10,13.266727645456669,Baseline,4799.585780238599,361.7761597662908,0.3617761597662908,6976.62469560407,525.8738162152058,0.5258738162152058
C12,C19,C,4,Baseline,10,16.20297098202364,Baseline,8330.449469001758,514.1309873506508,0.5141309873506508,11388.50567241604,702.8652760688765,0.7028652760688765
D12,D26,D,5,Baseline,13,35.15233519533221,Baseline,18183.78649959482,517.2853068950423,0.5172853068950423,21416.609736727452,609.2514086964927,0.6092514086964927
E12,F22,F,4,Baseline,8,16.081888782577586,Baseline,10505.015663905093,653.2202657243698,0.6532202657243699,14690.30587983358,913.468938782142,0.913468938782142
