fragment,homog.vol.mL,date.airbrushed,freezer.location,initials,notes
A7,9,20221004,Molec. -40C,AH,
A16,10,20221004,Molec. -40C,AH,
A20,10,20221004,Molec. -40C,AH,
A31,5,20221004,Molec. -40C,AH,
B9,7,20221004,Molec. -40C,AH,
B20,7.5,20221004,Molec. -40C,AH,
B25,10,20221004,Molec. -40C,AH,
B34,8,20221004,Molec. -40C,AH,
C1,8,20221004,Molec. -40C,AH,
C19,10,20221004,Molec. -40C,AH,
C26,10,20221004,Molec. -40C,AH,
C30,7.5,20221004,Molec. -40C,AH,
D4,10.5,20221004,Molec. -40C,AH,
D13,10,20221004,Molec. -40C,AH,
D26,13,20221004,Molec. -40C,AH,
D30,13,20221004,Molec. -40C,AH,
E5,7.5,20221004,Molec. -40C,AH,
E8,10,20221004,Molec. -40C,AH,
E20,7.5,20221004,Molec. -40C,AH,
E31,7,20221004,Molec. -40C,AH,
F2,4.5,20221004,Molec. -40C,AH,
F9,6,20221004,Molec. -40C,AH,
F17,7.5,20221004,Molec. -40C,AH,
F22,8,20221004,Molec. -40C,AH,
