fragment,colony,tank,treatment,date.fragmented,date.sampled.baseline,date.mortality,date.sampled.final
A1,A,1,Light-Food,20220928,,,
A2,A,1,Light-Food,20220928,,,
A3,A,1,Light-Food,20220928,,,
A4,A,1,Light-Food,20220928,,,
A5,A,1,Light-Food,20220928,,,
B1,B,1,Light-Food,20220926,,,
B2,B,1,Light-Food,20220926,,,
B3,B,1,Light-Food,20220926,,,
B4,B,1,Light-Food,20220926,,,
B5,B,1,Light-Food,20220926,,,
C1,C,1,Baseline,20220928,20221002,NA,NA
C2,C,1,Light-Food,20220928,,,
C3,C,1,Light-Food,20220928,,,
C4,C,1,Light-Food,20220928,,,
C5,C,1,Light-Food,20220928,,,
C6,C,1,Light-Food,20220928,,,
D4,D,1,Baseline,20220927,20221002,NA,NA
D1,D,1,Light-Food,20220927,,,
D2,D,1,Light-Food,20220927,,,
D3,D,1,Light-Food,20220927,,,
D5,D,1,Light-Food,20220927,,,
D6,D,1,Light-Food,20220927,,,
E5,E,1,Baseline,20220927,20221002,NA,NA
E1,E,1,Light-Food,20220927,,,
E2,E,1,Light-Food,20220927,,,
E3,E,1,Light-Food,20220927,,,
E4,E,1,Light-Food,20220927,,,
E6,E,1,Light-Food,20220927,,,
F2,F,1,Baseline,20220928,20221002,NA,NA
F1,F,1,Light-Food,20220928,,,
F3,F,1,Light-Food,20220928,,,
F4,F,1,Light-Food,20220928,,,
F5,F,1,Light-Food,20220928,,,
F6,F,1,Light-Food,20220928,,,
A7,A,2,Baseline,20220928,20221002,NA,NA
A10,A,2,Light-NoFood,20220928,,,
A11,A,2,Light-NoFood,20220928,,,
A6,A,2,Light-NoFood,20220928,,,
A8,A,2,Light-NoFood,20220928,,,
A9,A,2,Light-NoFood,20220928,,,
B9,B,2,Baseline,20220926,20221002,NA,NA
B10,B,2,Light-NoFood,20220926,,,
B11,B,2,Light-NoFood,20220926,,,
B6,B,2,Light-NoFood,20220926,,,
B7,B,2,Light-NoFood,20220926,,,
B8,B,2,Light-NoFood,20220926,,,
C10,C,2,Light-NoFood,20220928,,,
C11,C,2,Light-NoFood,20220928,,,
C7,C,2,Light-NoFood,20220928,,,
C8,C,2,Light-NoFood,20220928,,,
C9,C,2,Light-NoFood,20220928,,,
D10,D,2,Light-NoFood,20220927,,,
D11,D,2,Light-NoFood,20220927,,,
D7,D,2,Light-NoFood,20220927,,,
D8,D,2,Light-NoFood,20220927,,,
D9,D,2,Light-NoFood,20220927,,,
E8,E,2,Baseline,20220927,20221002,NA,NA
E10,E,2,Light-NoFood,20220927,,,
E11,E,2,Light-NoFood,20220927,,,
E12,E,2,Light-NoFood,20220927,,,
E7,E,2,Light-NoFood,20220927,,,
E9,E,2,Light-NoFood,20220927,,,
F9,F,2,Baseline,20220928,20221002,NA,NA
F10,F,2,Light-NoFood,20220928,,,
F11,F,2,Light-NoFood,20220928,,,
F12,F,2,Light-NoFood,20220928,,,
F7,F,2,Light-NoFood,20220928,,,
F8,F,2,Light-NoFood,20220928,,,
A16,A,3,Baseline,20220928,20221002,NA,NA
A12,A,3,Shade-Food,20220928,,,
A13,A,3,Shade-Food,20220928,,,
A14,A,3,Shade-Food,20220928,,,
A15,A,3,Shade-Food,20220928,,,
A17,A,3,Shade-Food,20220928,,,
B12,B,3,Shade-Food,20220926,,,
B13,B,3,Shade-Food,20220926,,,
B14,B,3,Shade-Food,20220926,,,
B15,B,3,Shade-Food,20220926,,,
B16,B,3,Shade-Food,20220926,,,
B17,B,3,Shade-Food,20220926,,,
C12,C,3,Shade-Food,20220928,,,
C13,C,3,Shade-Food,20220928,,,
C14,C,3,Shade-Food,20220928,,,
C15,C,3,Shade-Food,20220928,,,
C16,C,3,Shade-Food,20220928,,,
C17,C,3,Shade-Food,20220928,,,
D13,D,3,Baseline,20220927,20221002,NA,NA
D12,D,3,Shade-Food,20220927,,,
D14,D,3,Shade-Food,20220927,,,
D15,D,3,Shade-Food,20220927,,,
D16,D,3,Shade-Food,20220927,,,
D17,D,3,Shade-Food,20220927,,,
E13,E,3,Shade-Food,20220927,,,
E14,E,3,Shade-Food,20220927,,,
E15,E,3,Shade-Food,20220927,,,
E16,E,3,Shade-Food,20220927,,,
E17,E,3,Shade-Food,20220927,,,
F17,F,3,Baseline,20220928,20221002,NA,NA
F13,F,3,Shade-Food,20220928,,,
F14,F,3,Shade-Food,20220928,,,
F15,F,3,Shade-Food,20220928,,,
F16,F,3,Shade-Food,20220928,,,
F18,F,3,Shade-Food,20220928,,,
A20,A,4,Baseline,20220928,20221002,NA,NA
A18,A,4,Shade-Food,20220928,,,
A19,A,4,Shade-Food,20220928,,,
